Week,vegan cosmetics: (Worldwide)
2019-11-10,47
2019-11-17,47
2019-11-24,53
2019-12-01,54
2019-12-08,56
2019-12-15,54
2019-12-22,39
2019-12-29,44
2020-01-05,44
2020-01-12,51
2020-01-19,55
2020-01-26,47
2020-02-02,38
2020-02-09,42
2020-02-16,48
2020-02-23,49
2020-03-01,50
2020-03-08,42
2020-03-15,29
2020-03-22,39
2020-03-29,37
2020-04-05,37
2020-04-12,50
2020-04-19,47
2020-04-26,40
2020-05-03,48
2020-05-10,50
2020-05-17,51
2020-05-24,39
2020-05-31,44
2020-06-07,44
2020-06-14,41
2020-06-21,42
2020-06-28,50
2020-07-05,39
2020-07-12,45
2020-07-19,44
2020-07-26,41
2020-08-02,38
2020-08-09,43
2020-08-16,48
2020-08-23,42
2020-08-30,35
2020-09-06,50
2020-09-13,36
2020-09-20,34
2020-09-27,38
2020-10-04,38
2020-10-11,37
2020-10-18,42
2020-10-25,33
2020-11-01,39
2020-11-08,34
2020-11-15,47
2020-11-22,46
2020-11-29,42
2020-12-06,44
2020-12-13,38
2020-12-20,39
2020-12-27,39
2021-01-03,35
2021-01-10,36
2021-01-17,39
2021-01-24,39
2021-01-31,37
2021-02-07,36
2021-02-14,30
2021-02-21,34
2021-02-28,33
2021-03-07,33
2021-03-14,36
2021-03-21,30
2021-03-28,41
2021-04-04,38
2021-04-11,45
2021-04-18,45
2021-04-25,33
2021-05-02,24
2021-05-09,37
2021-05-16,30
2021-05-23,30
2021-05-30,31
2021-06-06,33
2021-06-13,31
2021-06-20,28
2021-06-27,34
2021-07-04,30
2021-07-11,37
2021-07-18,32
2021-07-25,33
2021-08-01,31
2021-08-08,33
2021-08-15,28
2021-08-22,32
2021-08-29,29
2021-09-05,31
2021-09-12,32
2021-09-19,30
2021-09-26,26
2021-10-03,33
2021-10-10,32
2021-10-17,100
2021-10-24,28
2021-10-31,31
2021-11-07,32
2021-11-14,33
2021-11-21,42
2021-11-28,32
2021-12-05,31
2021-12-12,33
2021-12-19,37
2021-12-26,35
2022-01-02,34
2022-01-09,29
2022-01-16,25
2022-01-23,34
2022-01-30,40
2022-02-06,33
2022-02-13,34
2022-02-20,34
2022-02-27,35
2022-03-06,34
2022-03-13,34
2022-03-20,33
2022-03-27,34
2022-04-03,29
2022-04-10,30
2022-04-17,31
2022-04-24,33
2022-05-01,29
2022-05-08,34
2022-05-15,31
2022-05-22,32
2022-05-29,26
2022-06-05,23
2022-06-12,27
2022-06-19,28
2022-06-26,25
2022-07-03,30
2022-07-10,30
2022-07-17,29
2022-07-24,26
2022-07-31,23
2022-08-07,28
2022-08-14,23
2022-08-21,15
2022-08-28,25
2022-09-04,20
2022-09-11,24
2022-09-18,27
2022-09-25,27
2022-10-02,26
2022-10-09,22
2022-10-16,24
2022-10-23,29
2022-10-30,27
2022-11-06,25
2022-11-13,34
2022-11-20,35
2022-11-27,29
2022-12-04,29
2022-12-11,32
2022-12-18,33
2022-12-25,33
2023-01-01,35
2023-01-08,24
2023-01-15,29
2023-01-22,24
2023-01-29,29
2023-02-05,31
2023-02-12,30
2023-02-19,30
2023-02-26,26
2023-03-05,28
2023-03-12,23
2023-03-19,68
2023-03-26,32
2023-04-02,27
2023-04-09,29
2023-04-16,27
2023-04-23,33
2023-04-30,24
2023-05-07,28
2023-05-14,25
2023-05-21,24
2023-05-28,24
2023-06-04,24
2023-06-11,21
2023-06-18,19
2023-06-25,20
2023-07-02,25
2023-07-09,32
2023-07-16,25
2023-07-23,29
2023-07-30,25
2023-08-06,23
2023-08-13,21
2023-08-20,18
2023-08-27,22
2023-09-03,22
2023-09-10,23
2023-09-17,24
2023-09-24,22
2023-10-01,23
2023-10-08,26
2023-10-15,24
2023-10-22,21
2023-10-29,23
2023-11-05,21
2023-11-12,31
2023-11-19,31
2023-11-26,28
2023-12-03,30
2023-12-10,31
2023-12-17,25
2023-12-24,22
2023-12-31,31
2024-01-07,30
2024-01-14,26
2024-01-21,28
2024-01-28,26
2024-02-04,24
2024-02-11,26
2024-02-18,25
2024-02-25,21
2024-03-03,22
2024-03-10,26
2024-03-17,24
2024-03-24,29
2024-03-31,27
2024-04-07,25
2024-04-14,29
2024-04-21,21
2024-04-28,24
2024-05-05,23
2024-05-12,26
2024-05-19,24
2024-05-26,19
2024-06-02,28
2024-06-09,16
2024-06-16,18
2024-06-23,21
2024-06-30,20
2024-07-07,26
2024-07-14,25
2024-07-21,23
2024-07-28,24
2024-08-04,17
2024-08-11,20
2024-08-18,17
2024-08-25,27
2024-09-01,23
2024-09-08,22
2024-09-15,16
2024-09-22,22
2024-09-29,23
2024-10-06,25
2024-10-13,21
2024-10-20,20
2024-10-27,30
2024-11-03,22
2024-11-10,27
